date,old_gas,new_gas,delta_gas,old_water,new_water,delta_water,old_hc,new_hc,delta_hc,old_total,new_total,delta_total,old_oil_volume,new_oil_volume,delta_oil_volume
2026-06-01,640.7719000000001,640.7719000000001,0.0,132.948,132.948,0.0,3045.9409,3045.9409,0.0,3178.8889,3178.8889,0.0,3111.012,3028.646,82.36599999999999
2026-06-02,639.0473000000001,639.0473000000001,0.0,65.717,65.717,0.0,3045.3183,3045.3183,0.0,3111.0353,3111.0353,0.0,3111.979,3030.034,81.94499999999971
2026-06-03,638.6091,638.6091,0.0,100.98,100.98,0.0,3043.1851,3043.1851,0.0,3144.1651,3144.1651,0.0,3109.47,3027.9,81.56999999999971
2026-06-04,639.9813,639.9813,0.0,139.507,139.507,0.0,3044.0143,3044.0143,0.0,3183.5213,3183.5213,0.0,3109.04,3027.215,81.82499999999982
2026-06-05,1086.2158,1086.2158,0.0,134.839,134.839,0.0,5069.0228,5069.0228,0.0,5203.8618,5203.8618,0.0,5186.726,5015.245,171.48099999999977
2026-06-06,2231.3087,2231.3087,0.0,136.746,136.746,0.0,12348.6727,10265.9127,2082.7599999999984,12485.4187,10402.6587,2082.76,10522.215,10117.364,404.85100000000057
2026-06-07,2225.7258,2225.7258,0.0,76.76,76.76,0.0,12338.9118,10257.0108,2081.901,12415.6718,10333.7708,2081.901,10517.702,10113.186,404.5159999999996
2026-06-08,1077.3301,1077.3301,0.0,58.871,58.871,0.0,4979.989100000001,4979.989100000001,0.0,5038.860100000001,5038.860100000001,0.0,5111.874,4914.322,197.55199999999968
2026-06-09,5.9226,5.9226,0.0,65.983,65.983,0.0,12.9276,12.9276,0.0,78.9106,78.9106,0.0,8.907,8.821,0.0860000000000003
2026-06-10,0.0,0.0,0.0,66.658,66.658,0.0,0.0,0.0,0.0,66.658,66.658,0.0,0.0,0.0,0.0
2026-06-11,168.3541,168.3541,0.0,65.728,65.728,0.0,1283.8171,1283.8171,0.0,1349.5451,1349.5451,0.0,1424.461,1404.618,19.843000000000075
2026-06-12,1913.7424,1913.7424,0.0,0.0,0.0,0.0,8881.1394,8881.1394,0.0,8881.1394,8881.1394,0.0,9103.998,8773.511,330.48699999999917
2026-06-13,2225.0302,2225.0302,0.0,0.0,0.0,0.0,12431.8462,10330.6712,2101.1749999999993,12431.8462,10330.6712,2101.1749999999993,10613.222,10206.816,406.40599999999904
2026-06-14,2233.3848,2233.3848,0.0,0.0,0.0,0.0,12434.2398,10334.2918,2099.9479999999985,12434.2398,10334.2918,2099.9479999999985,10609.906,10200.855,409.0510000000013
2026-06-15,2211.2259,2211.2259,0.0,0.0,0.0,0.0,12406.5459,10307.7369,2098.8089999999993,12406.5459,10307.7369,2098.8089999999993,10604.276,10195.32,408.95600000000013
2026-06-16,2105.6133,2105.6133,0.0,0.0,0.0,0.0,12292.4863,10195.4163,2097.0699999999997,12292.4863,10195.4163,2097.0699999999997,10595.144,10186.873,408.27100000000064
2026-06-17,2052.0166,2052.0166,0.0,0.0,0.0,0.0,11773.8336,9772.5006,2001.3330000000005,11773.8336,9772.5006,2001.3330000000005,10107.587,9721.817,385.77000000000044
2026-06-18,1479.2694,1479.2694,0.0,0.0,0.0,0.0,6842.7394,6842.7394,0.0,6842.7394,6842.7394,0.0,7006.307,6753.808,252.4989999999998
2026-06-19,649.4296999999999,649.4296999999999,0.0,0.0,0.0,0.0,3043.8077,3043.8077,0.0,3043.8077,3043.8077,0.0,3099.68,3015.059,84.62099999999964
2026-06-20,790.1596,790.1596,0.0,0.0,0.0,0.0,3697.3686,3697.3686,0.0,3697.3686,3697.3686,0.0,3796.577,3660.827,135.75
2026-06-21,0.0,0.0,0.0,0.0,0.0,0.0,3.563,3.563,0.0,3.563,3.563,0.0,4.568,4.486,0.08199999999999985
2026-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.0,0.012,0.012,0.0,0.015,0.015,0.0
2026-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
