day;bank;entity;instrumento;reason
2026-08-06;B05;PE_EO105;18FT1706;sem cadastro XML042
2026-08-06;B05;PE_EO4;18FT1806;sem cadastro XML042
2026-08-06;B10;PE_8;18FT0306;sem cadastro XML042
2026-08-06;B10;PE_9;18FT0106;sem cadastro XML042
2026-08-07;B05;PE_EO105;18FT1706;sem cadastro XML042
2026-08-07;B05;PE_EO4;18FT1806;sem cadastro XML042
2026-08-07;B10;PE_8;18FT0306;sem cadastro XML042
2026-08-07;B10;PE_9;18FT0106;sem cadastro XML042
2026-08-08;B05;PE_EO105;18FT1706;sem cadastro XML042
2026-08-08;B05;PE_EO4;18FT1806;sem cadastro XML042
2026-08-08;B10;PE_8;18FT0306;sem cadastro XML042
2026-08-08;B10;PE_9;18FT0106;sem cadastro XML042
2026-08-09;B05;PE_EO105;18FT1706;sem cadastro XML042
2026-08-09;B05;PE_EO4;18FT1806;sem cadastro XML042
2026-08-09;B10;PE_8;18FT0306;sem cadastro XML042
2026-08-09;B10;PE_9;18FT0106;sem cadastro XML042
2026-08-10;B05;PE_EO105;18FT1706;sem cadastro XML042
2026-08-10;B05;PE_EO4;18FT1806;sem cadastro XML042
2026-08-10;B10;PE_8;18FT0306;sem cadastro XML042
2026-08-10;B10;PE_9;18FT0106;sem cadastro XML042
