                                   DAILY EVENTS REPORT ON DEMAND

Company                            Equinor
Location                           Tot. Fuel Gas & Test Sep. Gas & Gas Lift

System                             21JN112
Description                        FPSO Bacalhau
Flow computer                      21JN112

Start date/time                    16/04/26 00:00:00
End date/time                      16/04/26 12:58:12

Events                             89
04/16/26 12:58:12                  'Print snapshot report' executed by administrator (2000)
04/16/26 12:57:28                  Parameter DPA High alarm Limit was changed from 420 to 600 by administrator (2000)
04/16/26 12:57:23                  Parameter DPA High high alarm Limit was changed from 420 to 600 by administrator (2000)
04/16/26 12:53:50                  Parameter Run 1 Diff. pressure A HART full scale was changed from 420 to 600 by administrator (2000)
04/16/26 12:49:09                  User Administrator (Web: 10.0.1.51) failed to log in
04/16/26 12:49:09                  User administrator (Web: 10.0.1.51) has logged in
04/16/26 11:12:30                  Run 1 Temperature alarm from Normal to Low Low [0]
04/16/26 11:09:46                  Run 1 DPA alarm from Low Low to Normal [0]
04/16/26 11:09:30                  Run 1 DPA alarm from Normal to Low Low [0]
04/16/26 11:08:16                  Run 1 DPA alarm from Low Low to Normal [0]
04/16/26 11:08:09                  Run 1 DPA alarm from Normal to Low Low [0]
04/16/26 11:07:24                  Run 1 Pressure alarm from Low Low to Normal [0]
04/16/26 11:01:17                  Run 1 DPA alarm from Low Low to Normal [0]
04/16/26 11:01:16                  Run 1 DPA alarm from Normal to Low Low [0]
04/16/26 10:59:57                  Run 1 DPA alarm from High High to Normal [42]
04/16/26 10:59:27                  Run 1 DPA alarm from Normal to High High [42]
04/16/26 10:57:34                  Run 1 DPA alarm from Low Low to Normal [0]
04/16/26 10:57:24                  Run 1 DPA alarm from Normal to Low Low [0]
04/16/26 10:56:17                  Run 1 DPA alarm from Low Low to Normal [0]
04/16/26 10:56:11                  Run 1 DPA alarm from Normal to Low Low [0]
04/16/26 10:54:15                  Run 1 DPA alarm from High High to Normal [42]
04/16/26 10:53:56                  Run 1 DPA alarm from Normal to High High [42]
04/16/26 10:53:48                  Run 1 DPA alarm from High High to Normal [42]
04/16/26 10:53:38                  Run 1 DPA alarm from Normal to High High [42]
04/16/26 10:52:08                  Run 1 DPA alarm from High High to Normal [42]
04/16/26 10:52:01                  Run 1 DPA alarm from Normal to High High [42]
04/16/26 10:50:36                  Run 1 DPA alarm from High High to Normal [42]
04/16/26 10:50:24                  Run 1 DPA alarm from Normal to High High [42]
04/16/26 10:46:03                  Run 1 DPA alarm from High High to Normal [42]
04/16/26 10:44:18                  Run 1 DPA alarm from Normal to High High [42]
