                                                          Hourly Report

   Meter ID        45FT0360                                    Period start                16/04/26 00:00:00
   Flow computer   21JN113                                     Period end                  17/04/26 00:00:00
   Company         Equinor
   Location        Flare Pilot & LP Fuel Gas & HP Sep. Gas
   Meter Type      Orifice                                     Orifice Diameter            12.640


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              kPa             min
   01              652.348      24.72             0.8544       5.51        1.90            12.40           10.70           0.60            0.132           60.0
   02              652.329      25.13             0.8544       5.50        1.90            12.50           10.60           0.50            0.133           60.0
   03              652.260      25.21             0.8544       5.49        2.00            12.50           10.70           0.60            0.134           60.0
   04              652.207      25.37             0.8544       5.49        1.90            12.50           10.70           0.60            0.134           60.0
   05              652.198      25.49             0.8544       5.49        1.90            12.40           10.60           0.50            0.132           60.0
   06              652.226      25.58             0.8544       5.49        2.00            12.40           10.60           0.60            0.131           60.0
   07              652.304      25.28             0.8544       5.49        1.90            12.40           10.60           0.60            0.132           60.0
   08              652.295      25.26             0.8544       5.49        1.90            12.50           10.70           0.50            0.133           60.0
   09              652.275      26.38             0.8544       5.47        2.00            12.40           10.60           0.60            0.133           60.0
   10              652.274      27.91             0.8544       5.44        1.90            12.40           10.60           0.60            0.133           60.0
   11              652.226      29.64             0.8544       5.41        2.00            12.40           10.50           0.50            0.132           60.0
   12              652.206      32.01             0.8544       5.36        1.90            12.20           10.50           0.60            0.131           60.0
   13              652.107      33.38             0.8544       5.34        2.00            12.20           10.40           0.60            0.131           60.0
   14              652.071      35.25             0.8544       5.30        1.90            12.10           10.30           0.50            0.129           60.0
   15              652.016      35.41             0.8544       5.30        2.00            12.20           10.50           0.60            0.133           60.0
   16              651.973      33.48             0.8544       5.33        2.00            12.40           10.50           0.50            0.134           60.0
   17              651.984      31.26             0.8544       5.38        2.00            12.50           10.70           0.60            0.138           60.0
   18              652.045      28.76             0.8544       5.42        1.90            12.50           10.70           0.60            0.136           60.0
   19              652.078      27.07             0.8544       5.46        2.00            12.50           10.70           0.60            0.134           60.0
   20              652.076      26.39             0.8544       5.47        1.90            12.50           10.60           0.50            0.134           60.0
   21              652.085      26.01             0.8544       5.48        2.00            12.40           10.70           0.60            0.133           60.0
   22              652.111      25.67             0.8544       5.48        1.90            12.50           10.60           0.60            0.132           60.0
   23              652.065      25.54             0.8544       5.49        2.00            12.50           10.70           0.50            0.134           60.0
   24              652.049      25.33             0.8544       5.49        1.90            12.50           10.70           0.60            0.135           60.0
   DAILY                                                                   46.70           297.80          254.50          13.60                           1440.0

