                                   DAILY ALARMS AND EVENTS REPORT

Company                            Equinor
Location                           Sales Oil Skid

System                             20JX101
Description                        FPSO Bacalhau
Flow computer                      21JN101A

Start date/time                    16/04/26 00:00:00
End date/time                      17/04/26 00:00:00

Amount                             17
04/16/26 23:20:00                  System-time was changed from 16/04/2026 23:19:57.000 to 16/04/2026 23:20:00.000 by  (-1)
04/16/26 17:16:23                  Run 2 BSW alarm from Low Low to Normal [0]
04/16/26 17:16:23                  Run 1 BSW alarm from Low Low to Normal [0]
04/16/26 17:15:19                  Run 2 BSW alarm from Normal to Low Low [0]
04/16/26 17:15:19                  Run 1 BSW alarm from Normal to Low Low [0]
04/16/26 09:23:12                  User administrator (Web: 10.0.1.51) has logged off
04/16/26 08:47:21                  User administrator (Web: 10.0.1.51) has logged in
04/16/26 05:55:44                  User administrator (Web: 10.0.1.50) has logged off
04/16/26 05:54:47                  'Print configuration report' executed by administrator (2000)
04/16/26 05:54:28                  'Print snapshot report' executed by administrator (2000)
04/16/26 05:54:22                  User administrator (Web: 10.0.1.50) has logged in
04/16/26 05:53:55                  Parameter Product 1 standard density override was changed from 851.4 to 852.9 by CommDrivers (10000)
04/16/26 05:53:55                  Parameter Product 2 standard density override was changed from 851.4 to 852.9 by CommDrivers (10000)
04/16/26 01:22:06                  User administrator (Web: 10.0.1.50) has been automatically logged off
04/16/26 01:21:21                  User administrator (Web: 10.0.1.50) has been automatically logged off
04/16/26 00:22:05                  User administrator (Web: 10.0.1.50) has logged in
04/16/26 00:21:20                  User administrator (Web: 10.0.1.50) has logged in

