                                                          Hourly Report

   Meter ID        45FT0555                                    Period start                14/04/26 00:00:00
   Flow computer   21JN112                                     Period end                  15/04/26 00:00:00
   Company         Equinor
   Location        Tot. Fuel Gas & Test Sep. Gas & Gas Lift
   Meter Type      Orifice                                     Orifice Diameter            48.000


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              t               GJ              kPa             min
   01              4700.930     52.05             0.8530       40.51       106.70          5064.40         4319.80         230.40          15.000          60.0
   02              4700.994     51.92             0.8530       40.54       106.90          5084.20         4336.70         231.30          15.109          60.0
   03              4700.703     51.97             0.8530       40.52       106.70          5069.70         4324.30         230.60          15.026          60.0
   04              4700.745     51.95             0.8530       40.53       106.70          5066.10         4321.30         230.50          15.003          60.0
   05              4700.929     51.88             0.8530       40.54       106.70          5071.60         4325.90         230.70          15.032          60.0
   06              4700.921     51.78             0.8530       40.56       106.70          5077.10         4330.70         231.00          15.059          60.0
   07              4700.917     51.82             0.8530       40.55       106.90          5078.40         4331.70         231.00          15.067          60.0
   08              4700.682     51.87             0.8530       40.54       107.30          5102.20         4352.10         232.20          15.214          60.0
   09              4700.447     51.94             0.8530       40.53       108.00          5131.20         4376.70         233.40          15.393          60.0
   10              4700.541     52.09             0.8530       40.50       107.80          5120.90         4368.00         233.00          15.342          60.0
   11              4700.924     52.18             0.8530       40.49       108.00          5125.40         4371.80         233.10          15.373          60.0
   12              4700.759     52.16             0.8530       40.49       108.00          5127.10         4373.40         233.30          15.383          60.0
   13              4700.976     51.68             0.8530       40.58       108.00          5139.00         4383.40         233.80          15.420          60.0
   14              4700.690     51.16             0.8530       40.67       107.70          5132.00         4377.40         233.40          15.344          60.0
   15              4696.971     51.02             0.8530       40.66       113.10          5391.00         4598.40         245.30          18.019          60.0
   16              4695.957     46.56             0.8530       41.48       152.90          7436.60         6343.30         338.30          31.682          60.0
   17              4696.543     46.59             0.8530       41.48       153.00          7441.10         6347.10         338.50          31.710          60.0
   18              4695.458     48.72             0.8530       41.08       155.90          7510.60         6406.30         341.70          32.644          60.0
   19              4695.154     52.01             0.8530       40.45       163.20          7739.90         6601.90         352.10          35.187          60.0
   20              4695.199     51.21             0.8530       40.60       162.90          7753.30         6613.40         352.80          35.185          60.0
   21              4695.102     50.72             0.8530       40.69       162.70          7759.50         6618.60         353.00          35.164          60.0
   22              4695.155     50.86             0.8530       40.66       163.30          7785.90         6641.20         354.20          35.429          60.0
   23              4695.434     51.17             0.8530       40.61       163.10          7765.80         6624.00         353.30          35.291          60.0
   24              4695.506     51.67             0.8530       40.52       162.60          7723.40         6587.90         351.40          34.944          60.0
   DAILY                                                                   3054.80         145696.40       124275.30       6628.30                         1440.0

