                                                          Hourly Report

   Meter ID        43FT0102                                    Period start                01/05/26 00:00:00
   Flow computer   21JN111                                     Period end                  02/05/26 00:00:00
   Company         Equinor
   Location        Flare Gas
   Meter Type      Ultrassonic Meter


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              min
   01              151.406      9.58              0.8809       1.37        20952.90        32530.60        28655.60        1499.50         60.0
   02              130.276      9.57              0.8809       1.18        17359.40        23186.30        20424.40        1068.70         60.0
   03              143.393      8.28              0.8809       1.30        20252.30        29920.80        26356.60        1379.20         60.0
   04              149.659      6.36              0.8809       1.37        20589.90        31976.60        28167.60        1473.90         60.0
   05              172.754      7.71              0.8809       1.57        22558.10        40264.80        35468.50        1856.00         60.0
   06              219.729      1.92              0.8809       2.05        91087.50        211775.50       186549.00       9761.60         60.0
   07              183.609      4.91              0.8809       1.69        26567.70        51026.70        44948.40        2352.00         60.0
   08              152.066      10.16             0.8809       1.37        21338.90        33214.00        29257.70        1530.90         60.0
   09              144.434      8.86              0.8809       1.31        30311.30        45009.10        39647.60        2074.70         60.0
   10              145.455      9.19              0.8809       1.32        21697.60        32408.10        28547.70        1493.80         60.0
   11              149.038      9.45              0.8809       1.35        20165.40        30839.60        27166.00        1421.50         60.0
   12              139.522      12.84             0.8809       1.25        19869.10        28092.90        24746.50        1295.00         60.0
   13              146.544      12.06             0.8809       1.31        20080.40        29910.20        26347.40        1378.60         60.0
   14              151.933      12.23             0.8809       1.36        20383.40        31481.60        27731.50        1451.10         60.0
   15              147.775      10.02             0.8809       1.33        20264.80        30672.70        27019.00        1413.90         60.0
   16              126.913      12.68             0.8809       1.13        10667.00        13730.70        12095.10        632.90          60.0
   17              197.233      14.28             0.8809       1.76        25464.50        50887.60        44825.90        2345.60         60.0
   18              168.819      7.36              0.8809       1.54        23473.00        40989.70        36107.10        1889.40         60.0
   19              144.233      8.64              0.8809       1.31        20585.40        30548.90        26909.90        1408.10         60.0
   20              145.756      8.87              0.8809       1.32        20677.70        30986.00        27295.00        1428.30         60.0
   21              137.858      10.59             0.8809       1.24        20097.60        28300.70        24929.50        1304.50         60.0
   22              147.330      13.68             0.8809       1.31        20846.10        31040.10        27342.70        1430.70         60.0
   23              140.389      14.58             0.8809       1.25        19166.30        27094.10        23866.60        1248.90         60.0
   24              143.053      13.48             0.8809       1.28        17802.80        25771.70        22701.80        1187.90         60.0
   DAILY                                                                   572259.10       961659.00       847107.10       44326.70        1440.0

