                                                          Hourly Report

   Meter ID        45FT0555                                    Period start                01/05/26 00:00:00
   Flow computer   21JN112                                     Period end                  02/05/26 00:00:00
   Company         Equinor
   Location        Tot. Fuel Gas & Test Sep. Gas & Gas Lift
   Meter Type      Orifice                                     Orifice Diameter            48.000


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              t               GJ              kPa             min
   01              4693.198     51.37             0.8530       40.55       154.00          7321.70         6245.10         333.00          32.658          60.0
   02              4693.101     51.50             0.8530       40.53       144.20          6855.00         5847.20         311.90          27.519          60.0
   03              4693.150     51.05             0.8530       40.61       144.30          6871.60         5861.30         312.60          27.597          60.0
   04              4693.330     50.90             0.8530       40.64       143.70          6842.90         5836.80         311.30          27.346          60.0
   05              4691.174     50.90             0.8530       40.62       151.80          7233.40         6169.90         329.10          30.600          60.0
   06              4693.569     50.02             0.8530       40.81       148.40          7096.60         6053.30         322.90          29.313          60.0
   07              4692.757     49.56             0.8530       40.89       148.50          7121.00         6074.00         323.90          29.450          60.0
   08              4693.027     50.56             0.8530       40.70       148.30          7072.10         6032.30         321.80          29.175          60.0
   09              4692.234     51.17             0.8530       40.58       149.80          7129.40         6081.20         324.30          29.740          60.0
   10              4692.209     51.24             0.8530       40.57       150.60          7164.80         6111.40         326.00          30.046          60.0
   11              4692.850     51.65             0.8530       40.50       149.80          7111.00         6065.50         323.50          29.645          60.0
   12              4692.699     51.73             0.8530       40.49       149.20          7082.00         6040.70         322.10          29.421          60.0
   13              4688.063     50.86             0.8530       40.60       155.00          7374.70         6290.50         335.50          32.609          60.0
   14              4681.136     48.67             0.8530       40.93       182.50          8761.50         7473.30         398.60          44.625          60.0
   15              4678.844     48.61             0.8530       40.92       182.60          8760.30         7472.40         398.60          44.625          60.0
   16              4682.738     50.93             0.8530       40.53       183.50          8718.90         7437.00         396.60          44.625          60.0
   17              4686.001     53.51             0.8530       40.09       184.50          8672.50         7397.30         394.60          44.625          60.0
   18              4688.826     52.63             0.8530       40.28       174.20          8223.60         7014.60         374.10          41.026          60.0
   19              4692.964     50.99             0.8530       40.63       146.10          6962.30         5938.70         316.70          28.325          60.0
   20              4692.496     50.86             0.8530       40.65       146.10          6960.00         5936.70         316.70          28.298          60.0
   21              4692.552     50.55             0.8530       40.71       149.50          7134.00         6085.10         324.50          29.693          60.0
   22              4691.989     50.54             0.8530       40.70       150.20          7165.80         6112.30         326.00          29.960          60.0
   23              4682.865     50.34             0.8530       40.64       172.00          8197.80         6992.40         373.00          40.222          60.0
   24              4678.510     50.06             0.8530       40.65       183.40          8737.50         7452.90         397.50          44.625          60.0
   DAILY                                                                   3792.20         180570.40       154021.90       8214.80                         1440.0

