                                                          Hourly Report

   Meter ID        45FT0360                                    Period start                01/05/26 00:00:00
   Flow computer   21JN113                                     Period end                  02/05/26 00:00:00
   Company         Equinor
   Location        Flare Pilot & LP Fuel Gas & HP Sep. Gas
   Meter Type      Orifice                                     Orifice Diameter            12.640


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(a)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              kPa             min
   01              652.572      25.55             0.8544       5.49        2.00            12.70           10.90           0.60            0.139           60.0
   02              652.548      25.36             0.8544       5.49        2.00            12.90           11.00           0.60            0.141           60.0
   03              652.512      25.10             0.8544       5.50        2.00            12.80           10.90           0.60            0.141           60.0
   04              652.480      24.95             0.8544       5.50        2.00            12.90           11.10           0.60            0.142           60.0
   05              652.498      24.83             0.8544       5.50        2.00            12.90           11.00           0.50            0.142           60.0
   06              652.541      25.08             0.8544       5.50        2.00            12.60           10.70           0.60            0.136           60.0
   07              652.602      25.58             0.8544       5.49        1.90            12.70           10.90           0.60            0.139           60.0
   08              652.716      25.88             0.8544       5.49        2.00            12.90           11.00           0.60            0.142           60.0
   09              652.751      26.55             0.8544       5.47        2.00            12.80           11.00           0.60            0.142           60.0
   10              652.807      27.27             0.8544       5.46        2.10            12.90           10.90           0.60            0.142           60.0
   11              652.813      27.91             0.8544       5.45        2.00            12.80           11.00           0.60            0.142           60.0
   12              652.766      29.76             0.8544       5.41        2.00            12.60           10.80           0.50            0.139           60.0
   13              652.645      32.50             0.8544       5.36        2.00            12.60           10.70           0.60            0.139           60.0
   14              652.542      35.28             0.8544       5.31        2.00            12.50           10.70           0.60            0.139           60.0
   15              652.408      37.17             0.8544       5.27        2.00            12.50           10.70           0.50            0.139           60.0
   16              652.481      35.95             0.8544       5.29        2.10            12.80           10.90           0.60            0.145           60.0
   17              652.594      32.71             0.8544       5.35        2.00            12.80           11.00           0.60            0.144           60.0
   18              652.586      30.02             0.8544       5.40        2.00            12.70           10.80           0.60            0.141           60.0
   19              652.560      28.03             0.8544       5.44        2.00            12.90           11.00           0.60            0.143           60.0
   20              652.558      26.96             0.8544       5.46        2.10            12.90           11.00           0.60            0.143           60.0
   21              652.563      26.45             0.8544       5.47        2.00            12.80           11.00           0.60            0.142           60.0
   22              652.522      26.20             0.8544       5.48        2.00            12.90           11.00           0.60            0.143           60.0
   23              652.451      26.08             0.8544       5.48        2.00            13.10           11.20           0.60            0.147           60.0
   24              652.381      26.05             0.8544       5.48        2.10            13.20           11.30           0.60            0.149           60.0
   DAILY                                                                   48.30           307.20          262.50          14.10                           1440.1

