                                                          Hourly Report

   Meter ID        20FT0116                                    Period start                01/05/26 00:00:00
   Flow computer   21JN113                                     Period end                  02/05/26 00:00:00
   Company         Equinor
   Location        Flare Pilot & LP Fuel Gas & HP Sep. Gas
   Meter Type      V-Cone                                      V-Cone Diameter             201.080


   Hour            Pressure     Temperature       SD           DT          Gr. Vol.        St. Vol.        Mass            Energy          Diff. Press.    Flowtime
                   kPa(g)       deg C             kg/sm3       kg/m3       m3              m3              Kg              GJ              kPa             min
   01              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   02              8834.652     41.72             0.8206       81.17       12.70           1257.30         1031.80         55.20           0.148           2.6
   03              8780.239     45.50             0.8206       78.81       364.10          34967.70        28694.30        1534.60         0.219           60.0
   04              8742.198     51.70             0.8206       75.65       379.30          34973.30        28698.90        1534.90         0.227           60.0
   05              8742.915     54.31             0.8206       74.58       380.20          34553.60        28354.60        1516.50         0.226           60.0
   06              8760.498     55.60             0.8206       74.23       382.30          34579.10        28375.40        1517.50         0.229           59.9
   07              8740.212     56.14             0.8206       73.82       159.70          14365.20        11788.00        630.50          0.214           25.7
   08              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   09              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   10              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   11              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   12              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   13              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   14              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   15              8574.077     55.04             0.8206       72.68       0.70            67.90           55.70           2.90            0.255           0.1
   16              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   17              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   18              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   19              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   20              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   21              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   22              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   23              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   24              0.000        0.00              0.0000       0.00        0.00            0.00            0.00            0.00            0.000           0.0
   DAILY                                                                   1679.00         154764.10       126998.70       6792.10                         268.3

