                                   ALARM AND EVENTS REPORT ON DEMAND

Company                            Equinor
Location                           Sales Oil Skid

System                             20JX101
Description                        FPSO Bacalhau
Flow computer                      21JN101A

Start date/time                    06/05/26 00:00:00
End date/time                      06/05/26 06:31:31

Amount                             107
05/06/26 06:31:31                  'Print snapshot report' executed by administrator (2000)
05/06/26 06:31:18                  'Print configuration report' executed by administrator (2000)
05/06/26 06:31:13                  User administrator (Web: 10.0.1.51) has logged in
05/06/26 06:28:10                  Parameter Product 1 standard density override was changed from 855.6 to 853.7 by CommDrivers (10000)
05/06/26 06:28:10                  Parameter Product 2 standard density override was changed from 855.6 to 853.7 by CommDrivers (10000)
05/06/26 05:34:01                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:59                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:58                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:33:57                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:33:55                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:33:53                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:33:52                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:33:51                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:49                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:48                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:33:47                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:46                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:44                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:43                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:34                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:33:31                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:33:30                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:29                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:19                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:18                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:16                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:33:15                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:03                  Run 1 Flow rate alarm from Normal to High High [501.84]
05/06/26 05:33:02                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:33:01                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:32:59                  Run 1 Flow rate alarm from High High to Normal [501.84]
05/06/26 05:32:57                  Run 1 Flow rate alarm from High High to Normal [501.84]
