                                   DAILY ALARMS AND EVENTS REPORT

Company                            Equinor
Location                           Sales Oil Skid

System                             20JX101
Description                        FPSO Bacalhau
Flow computer                      21JN102A

Start date/time                    05/05/26 00:00:00
End date/time                      06/05/26 00:00:00

Amount                             156
05/05/26 23:32:02                  Run 2 No B pulses changed from (Unacked) Normal to (Blocked) Alarm
05/05/26 23:32:02                  Run 2 Pulse input failure changed from (Unacked) Normal to (Blocked) Alarm
05/05/26 23:32:02                  Run 2 No A pulses changed from (Unacked) Normal to (Blocked) Alarm
05/05/26 23:24:24                  Run 2 Pulse input failure changed from Alarm to (Unacked) Normal
05/05/26 23:24:24                  Run 2 No A pulses changed from Alarm to (Unacked) Normal
05/05/26 23:24:24                  Run 2 Pulse input failure changed from (Unacked) Normal to Alarm
05/05/26 23:24:24                  Run 2 No A pulses changed from (Unacked) Normal to Alarm
05/05/26 23:24:23                  Run 2 Pulse input failure changed from Alarm to (Unacked) Normal
05/05/26 23:24:23                  Run 2 No B pulses changed from Alarm to (Unacked) Normal
05/05/26 23:24:23                  Run 2 No A pulses changed from Alarm to (Unacked) Normal
05/05/26 23:24:23                  Run 2 No B pulses changed from (Unacked) Normal to Alarm
05/05/26 23:24:22                  Run 2 Pulse input failure changed from (Unacked) Normal to Alarm
05/05/26 23:24:22                  Run 2 No A pulses changed from (Unacked) Normal to Alarm
05/05/26 23:24:22                  Run 2 Pulse input failure changed from Alarm to (Unacked) Normal
05/05/26 23:24:22                  Run 2 No B pulses changed from Alarm to (Unacked) Normal
05/05/26 23:24:21                  Run 2 No A pulses changed from Alarm to (Unacked) Normal
05/05/26 23:24:21                  Run 2 No B pulses changed from (Unacked) Normal to Alarm
05/05/26 23:24:21                  Run 2 Pulse input failure changed from (Unacked) Normal to Alarm
05/05/26 23:24:21                  Run 2 No A pulses changed from (Unacked) Normal to Alarm
05/05/26 23:23:59                  Run 2 Flow rate alarm from Low to Normal [0]
05/05/26 23:23:58                  Parameter Run 2 Flow rate high limit was changed from 213.61 to 0 by CommDrivers (10000)
05/05/26 23:23:58                  Parameter Run 2 Flow rate low limit was changed from 80 to 0 by CommDrivers (10000)
05/05/26 23:23:58                  Parameter Run 2 Fwd nominal K-factor was changed from 387.31 to 0 by CommDrivers (10000)
05/05/26 23:23:58                  Parameter Run 2 Fwd - Point 3 - Flowrate was changed from 103.6 to 0 by CommDrivers (10000)
05/05/26 23:23:58                  Parameter Run 2 Fwd - Point 4 - Flowrate was changed from 118.1 to 0 by CommDrivers (10000)
05/05/26 23:23:58                  Parameter Run 2 Fwd - Point 5 - Flowrate was changed from 142.4 to 0 by CommDrivers (10000)
05/05/26 23:23:58                  Parameter Run 2 Fwd - Point 6 - Flowrate was changed from 165.4 to 0 by CommDrivers (10000)
