day;bank;entity;instrumento;reason
2026-08-01;B05;PE_EO10;18FT1406;sem cadastro XML042
2026-08-01;B05;PE_EO105;18FT1706;sem cadastro XML042
2026-08-01;B05;PE_EO4;18FT1806;sem cadastro XML042
2026-08-01;B10;PE_8;18FT0306;sem cadastro XML042
2026-08-01;B10;PE_9;18FT0106;sem cadastro XML042
2026-08-01;B15;PE_1;18FT0706;sem cadastro XML042
2026-08-01;B15;PI_1;18FT0906;sem cadastro XML042
2026-08-01;B15;PI_2;18FT1206;sem cadastro XML042
2026-08-02;B05;PE_EO10;18FT1406;sem cadastro XML042
2026-08-02;B05;PE_EO105;18FT1706;sem cadastro XML042
2026-08-02;B05;PE_EO4;18FT1806;sem cadastro XML042
2026-08-02;B10;PE_8;18FT0306;sem cadastro XML042
2026-08-02;B10;PE_9;18FT0106;sem cadastro XML042
2026-08-02;B15;PE_1;18FT0706;sem cadastro XML042
2026-08-02;B15;PI_1;18FT0906;sem cadastro XML042
2026-08-02;B15;PI_2;18FT1206;sem cadastro XML042
2026-08-04;B05;PE_EO10;18FT1406;sem cadastro XML042
2026-08-04;B05;PE_EO105;18FT1706;sem cadastro XML042
2026-08-04;B05;PE_EO4;18FT1806;sem cadastro XML042
2026-08-04;B10;PE_8;18FT0306;sem cadastro XML042
2026-08-04;B10;PE_9;18FT0106;sem cadastro XML042
2026-08-04;B15;PE_1;18FT0706;sem cadastro XML042
2026-08-04;B15;PI_1;18FT0906;sem cadastro XML042
2026-08-04;B15;PI_2;18FT1206;sem cadastro XML042
2026-08-05;B05;PE_EO10;18FT1406;sem cadastro XML042
2026-08-05;B05;PE_EO105;18FT1706;sem cadastro XML042
2026-08-05;B05;PE_EO4;18FT1806;sem cadastro XML042
2026-08-05;B10;PE_8;18FT0306;sem cadastro XML042
2026-08-05;B10;PE_9;18FT0106;sem cadastro XML042
2026-08-05;B15;PE_1;18FT0706;sem cadastro XML042
2026-08-05;B15;PI_1;18FT0906;sem cadastro XML042
2026-08-05;B15;PI_2;18FT1206;sem cadastro XML042
