generated_at;production_day;cod_cadastro_poco;well_operator_name;well_anp_name;subsea_tag;bank;oil_sm3;gas_1000sm3;water_sm3;filename;file_hash;source_file
2026-08-06T17:08:46;2026-08-01;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;0.0;0.0;0.0;042_04028583_20260806170846.xml;40925a6836c1bf7fa26f2ea1bfc9b453812ee816e42e6f9e3c1c82cfea6eeffa;18FT1506
2026-08-06T17:08:46;2026-08-01;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;8885.459;2939.092;0.005;042_04028583_20260806170847.xml;5c22a3429e68e2a7fab11be436dac49d63a0ef51c159b627b7aa11da45c85e86;18FT0506
2026-08-06T17:08:46;2026-08-01;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;0.0;0.0;0.0;042_04028583_20260806170848.xml;b46c76be74945fdce84c8d0c8f19741793162b7f86fa79bf509be711cf485724;18FT1106
2026-08-06T17:08:46;2026-08-02;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;70.306;23.255;0.0;042_04028583_20260806170849.xml;4d4ef592493a91bb94f703e36fd328969af18612d8dc671b4a1be6adc4fab047;18FT1506
2026-08-06T17:08:46;2026-08-02;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;7746.752;2562.435;3.794;042_04028583_20260806170850.xml;8ac1c97b098ba33a37e1d80d7b4df4c9e0c6b5fad4a1532dac1bb502ee443c6f;18FT0506
2026-08-06T17:08:46;2026-08-02;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;0.0;0.0;0.0;042_04028583_20260806170851.xml;b573fdf67350aa5e021257062719bc0a0152c44e13fa8d6047d74753c0971a50;18FT1106
2026-08-06T17:08:46;2026-08-04;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;4233.052;1400.19;2.947;042_04028583_20260806170852.xml;733242051855ae780a76f68cea5283632e74798c26a683a8f7b7dbfeaf49ce8a;18FT1506
2026-08-06T17:08:46;2026-08-04;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;4347.951;1438.196;0.005;042_04028583_20260806170853.xml;0054c24927a9d156445a506c4472f3b865709eb09a586ee06f4c11b6d6a2a727;18FT0506
2026-08-06T17:08:46;2026-08-04;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;0.0;0.0;0.0;042_04028583_20260806170854.xml;52e85a7aaa379c31615ce9974cc5710bd1820358478f8637a2897c2dad9a8996;18FT1106
2026-08-06T17:08:46;2026-08-05;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;5003.33;1654.979;3.68;042_04028583_20260806170855.xml;6c6fc2512b4103907e361aa86591cf134e55d3e61766e57a26777383acfe1e43;18FT1506
2026-08-06T17:08:46;2026-08-05;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;4983.488;1648.415;0.004;042_04028583_20260806170856.xml;dc0809459f6a8ba78ec16793bff6dcdf81b0459897c85df40647d806056a178c;18FT0506
2026-08-06T17:08:46;2026-08-05;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;0.0;0.0;0.0;042_04028583_20260806170857.xml;a3b3e12cdbfedf5b5264ded9359b5df764540ee5d1aca6e4cc210e046fe7d5d4;18FT1106
