Data,Hora,Banco,Loop,Tipo,TAG,MPFM corr Gás (t),MPFM corr Óleo (t)
2026-07-23,00:00,B03,North,Topside,Riser_P5,22.478,106.501
2026-07-23,00:00,B05,North,Subsea,PE_4,0.0,130.27
2026-07-23,00:00,B08,South,Topside,Riser_P2,80.337,346.435
2026-07-23,00:00,B10,South,Subsea,PE_2,15.449,406.309
2026-07-23,00:00,B13,West,Topside,Riser_P4,74.365,325.62
2026-07-23,00:00,B15,West,Subsea,PW-104DA,36.658,396.367
2026-07-23,01:00,B03,North,Topside,Riser_P5,22.513,106.729
2026-07-23,01:00,B05,North,Subsea,PE_4,0.0,130.285
2026-07-23,01:00,B08,South,Topside,Riser_P2,80.379,346.316
2026-07-23,01:00,B10,South,Subsea,PE_2,15.572,406.074
2026-07-23,01:00,B13,West,Topside,Riser_P4,74.432,325.959
2026-07-23,01:00,B15,West,Subsea,PW-104DA,36.775,396.169
2026-07-23,02:00,B03,North,Topside,Riser_P5,22.519,106.762
2026-07-23,02:00,B05,North,Subsea,PE_4,0.0,130.242
2026-07-23,02:00,B08,South,Topside,Riser_P2,80.332,346.411
2026-07-23,02:00,B10,South,Subsea,PE_2,15.568,406.058
2026-07-23,02:00,B13,West,Topside,Riser_P4,74.547,326.516
2026-07-23,02:00,B15,West,Subsea,PW-104DA,36.835,396.115
2026-07-23,03:00,B03,North,Topside,Riser_P5,22.453,106.371
2026-07-23,03:00,B05,North,Subsea,PE_4,0.0,130.229
2026-07-23,03:00,B08,South,Topside,Riser_P2,80.333,346.303
2026-07-23,03:00,B10,South,Subsea,PE_2,15.923,405.483
2026-07-23,03:00,B13,West,Topside,Riser_P4,74.103,324.787
2026-07-23,03:00,B15,West,Subsea,PW-104DA,36.566,396.42
2026-07-23,04:00,B03,North,Topside,Riser_P5,22.305,105.737
2026-07-23,04:00,B05,North,Subsea,PE_4,0.0,130.226
2026-07-23,04:00,B08,South,Topside,Riser_P2,80.326,346.248
2026-07-23,04:00,B10,South,Subsea,PE_2,15.623,405.936
2026-07-23,04:00,B13,West,Topside,Riser_P4,73.301,321.392
2026-07-23,04:00,B15,West,Subsea,PW-104DA,36.703,395.923
2026-07-23,05:00,B03,North,Topside,Riser_P5,22.549,107.037
2026-07-23,05:00,B05,North,Subsea,PE_4,0.0,130.303
2026-07-23,05:00,B08,South,Topside,Riser_P2,80.303,346.327
2026-07-23,05:00,B10,South,Subsea,PE_2,16.091,405.349
2026-07-23,05:00,B13,West,Topside,Riser_P4,73.167,320.973
2026-07-23,05:00,B15,West,Subsea,PW-104DA,36.921,395.709
2026-07-23,06:00,B03,North,Topside,Riser_P5,22.522,106.859
2026-07-23,06:00,B05,North,Subsea,PE_4,0.0,130.307
2026-07-23,06:00,B08,South,Topside,Riser_P2,80.317,346.282
2026-07-23,06:00,B10,South,Subsea,PE_2,15.29,406.282
2026-07-23,06:00,B13,West,Topside,Riser_P4,73.582,322.726
2026-07-23,06:00,B15,West,Subsea,PW-104DA,36.892,395.74
2026-07-23,07:00,B03,North,Topside,Riser_P5,22.442,106.434
2026-07-23,07:00,B05,North,Subsea,PE_4,0.0,130.278
2026-07-23,07:00,B08,South,Topside,Riser_P2,81.146,350.488
2026-07-23,07:00,B10,South,Subsea,PE_2,16.56,410.984
2026-07-23,07:00,B13,West,Topside,Riser_P4,73.704,323.333
2026-07-23,07:00,B15,West,Subsea,PW-104DA,36.643,395.819
2026-07-23,08:00,B03,North,Topside,Riser_P5,22.34,106.174
2026-07-23,08:00,B05,North,Subsea,PE_4,0.0,130.353
2026-07-23,08:00,B08,South,Topside,Riser_P2,82.532,357.967
